timestamps,CP5,F5,C3,CP3,CP6,F6,C4,CP4,stim
1619622015173.0,-37215.05078125,27519.66796875,9391.6220703125,-38307.046875,-24771.142578125,8977.689453125,28922.12890625,-42756.76171875,0.0
1619622015177.0,-37213.57421875,27538.845703125,9462.767578125,-38316.09765625,-24758.19921875,8972.99609375,28981.47265625,-42766.21875,0.0
1619622015185.0,-37207.40625,27553.599609375,9486.9072265625,-38316.03125,-24750.890625,8968.16796875,29023.11328125,-42766.28515625,0.0
1619622015185.0,-37205.1953125,27530.330078125,9403.087890625,-38308.18359375,-24759.40625,8966.2900390625,28959.412109375,-42755.890625,0.0
1619622015197.0,-37208.01171875,27529.123046875,9439.9013671875,-38318.109375,-24757.931640625,8971.9228515625,28970.9453125,-42760.51953125,0.0
1619622015197.0,-37212.76953125,27533.013671875,9485.9013671875,-38326.35546875,-24762.89453125,8965.0166015625,29025.4609375,-42768.09765625,0.0
1619622015201.0,-37210.828125,27513.5,9395.1083984375,-38321.796875,-24774.025390625,8970.7158203125,28969.3359375,-42760.98828125,0.0
1619622015209.0,-37206.19921875,27498.2109375,9331.607421875,-38317.83984375,-24774.361328125,8976.28125,28911.400390625,-42754.55078125,0.0
1619622015209.0,-37215.98828125,27499.619140625,9402.3505859375,-38333.265625,-24770.740234375,8962.87109375,28942.580078125,-42770.0390625,0.0
1619622015213.0,-37234.02734375,27508.671875,9482.2138671875,-38348.484375,-24771.34375,8945.771484375,29002.998046875,-42786.1328125,0.0
1619622015221.0,-37228.4609375,27497.0703125,9425.9541015625,-38340.3046875,-24779.322265625,8947.4482421875,28968.93359375,-42779.83203125,0.0
1619622015225.0,-37216.19140625,27490.56640625,9340.2578125,-38330.71484375,-24790.251953125,8960.1884765625,28884.64453125,-42772.3203125,0.0
1619622015225.0,-37211.02734375,27492.17578125,9397.1875,-38334.5390625,-24783.546875,8960.45703125,28908.650390625,-42774.6015625,0.0
1619622015229.0,-37213.77734375,27507.666015625,9497.1669921875,-38340.640625,-24765.240234375,8960.859375,28999.912109375,-42778.48828125,0.0
1619622015237.0,-37217.6640625,27510.6171875,9470.076171875,-38342.8515625,-24763.966796875,8957.7744140625,29005.478515625,-42777.8203125,0.0
1619622015237.0,-37216.59375,27477.9609375,9343.54296875,-38343.25390625,-24784.3515625,8951.0693359375,28907.51171875,-42778.22265625,0.0
1619622015245.0,-37207.7421875,27474.205078125,9362.654296875,-38334.73828125,-24776.373046875,8962.267578125,28908.919921875,-42772.3203125,0.0
1619622015249.0,-37204.12109375,27497.943359375,9480.6708984375,-38338.42578125,-24765.240234375,8970.4482421875,28995.287109375,-42774.6015625,0.0
1619622015249.0,-37211.8984375,27501.8984375,9496.1611328125,-38338.76171875,-24768.861328125,8971.4541015625,29023.248046875,-42775.0703125,0.0
