timestamps,CP5,F5,C3,CP3,CP6,F6,C4,CP4,stim
1619623462926.0,-23751.03125,22000.486328125,18231.244140625,-37678.06640625,-18525.416015625,25347.615234375,43398.8828125,-43274.69921875,0.0
1619623462930.0,-23753.376953125,21991.703125,18179.27734375,-37679.4765625,-18529.103515625,25339.703125,43263.96875,-43275.90625,0.0
1619623462934.0,-23753.712890625,21983.587890625,18099.615234375,-37677.12890625,-18535.810546875,25333.734375,42949.61328125,-43276.7109375,0.0
1619623462938.0,-23758.138671875,21986.337890625,18137.3671875,-37681.01953125,-18536.546875,25333.869140625,43069.30859375,-43281.40234375,0.0
1619623462942.0,-23759.748046875,21994.98828125,18216.158203125,-37683.96875,-18533.1953125,25344.263671875,43417.19140625,-43280.66796875,0.0
1619623462946.0,-23754.919921875,21988.484375,18168.01171875,-37682.42578125,-18537.21875,25340.5078125,43335.25,-43277.24609375,0.0
1619623462950.0,-23749.0859375,21980.705078125,18078.158203125,-37675.65234375,-18538.55859375,25335.61328125,42975.1640625,-43270.80859375,0.0
1619623462954.0,-23748.951171875,21982.1796875,18100.15234375,-37679.4765625,-18539.095703125,25338.697265625,43028.60546875,-43270.80859375,0.0
1619623462958.0,-23746.537109375,21991.501953125,18180.08203125,-37677.59765625,-18535.20703125,25349.6953125,43383.26171875,-43269.46875,0.0
1619623462962.0,-23745.80078125,21991.970703125,18155.0703125,-37676.92578125,-18536.94921875,25349.29296875,43381.91796875,-43266.3828125,0.0
1619623462966.0,-23747.744140625,21981.173828125,18047.177734375,-37676.92578125,-18542.314453125,25342.251953125,42992.796875,-43263.90234375,0.0
1619623462970.0,-23749.890625,21980.4375,18052.005859375,-37678.46875,-18540.302734375,25342.720703125,42960.87890625,-43266.3828125,0.0
1619623462974.0,-23746.537109375,21996.26171875,18151.11328125,-37678.8046875,-18539.23046875,25350.90234375,43349.734375,-43270.0703125,0.0
1619623462978.0,-23742.3125,22007.59375,18149.03515625,-37674.6484375,-18538.0234375,25353.11328125,43434.625,-43267.5234375,0.0
1619623462982.0,-23741.978515625,21998.9453125,18043.021484375,-37670.2890625,-18538.224609375,25350.833984375,43041.81640625,-43261.95703125,0.0
1619623462986.0,-23744.19140625,21999.01171875,18026.861328125,-37671.16015625,-18540.16796875,25347.68359375,42929.36328125,-43263.296875,0.0
1619623462990.0,-23746.203125,22011.349609375,18134.015625,-37675.85546875,-18533.6640625,25361.02734375,43330.6875,-43262.29296875,0.0
1619623462994.0,-23744.123046875,22014.30078125,18158.2890625,-37673.91015625,-18529.9765625,25371.0859375,43478.6796875,-43255.05078125,0.0
1619623462998.0,-23746.203125,21999.01171875,18046.5078125,-37675.7890625,-18537.6875,25361.228515625,43080.7734375,-43256.9296875,0.0
1619623463002.0,-23742.916015625,21995.79296875,18013.583984375,-37669.88671875,-18536.748046875,25361.8984375,42888.7265625,-43256.05859375,0.0
1619623463006.0,-23742.71484375,22007.9296875,18114.234375,-37670.35546875,-18532.45703125,25373.029296875,43262.5625,-43258.0703125,0.0
1619623463010.0,-23741.576171875,22015.171875,18157.953125,-37668.41015625,-18531.115234375,25382.619140625,43505.30078125,-43255.921875,0.0
1619623463014.0,-23736.009765625,22006.521484375,18052.07421875,-37663.1796875,-18535.876953125,25379.064453125,43161.64453125,-43250.7578125,0.0
1619623463018.0,-23737.619140625,21998.408203125,17994.337890625,-37662.578125,-18541.173828125,25376.583984375,42887.7890625,-43251.16015625,0.0
1619623463022.0,-23742.3125,22006.923828125,18085.130859375,-37669.28125,-18551.43359375,25375.376953125,43201.609375,-43263.76953125,0.0
1619623463026.0,-23741.978515625,22017.51953125,18149.37109375,-37670.15625,-18551.232421875,25381.076171875,43509.66015625,-43264.57421875,0.0
1619623463030.0,-23742.044921875,22006.923828125,18062.869140625,-37667.40625,-18552.841796875,25372.494140625,43202.8828125,-43259.8125,0.0
